# fichier finlay.txt
############################################################################################
# Positions prévues de la comète Finlay par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 18/ 3/2021, la deuxième au 19/ 3/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              
-4.4587             1.8995              
-4.4642             1.8968              
-4.4697             1.8942              
-4.4751             1.8916              
-4.4806             1.8889              
-4.486              1.8863              
-4.4914             1.8836              
-4.4968             1.881               
-4.5022             1.8783              
-4.5076             1.8756              
-4.5129             1.873               
-4.5183             1.8703              
-4.5237             1.8676              
-4.529              1.8649              
-4.5343             1.8622              
-4.5396             1.8595              
-4.5449             1.8568              
-4.5502             1.8541              
-4.5555             1.8514              
-4.5608             1.8487              
-4.566              1.846               
-4.5713             1.8433              
-4.5765             1.8405              
-4.5817             1.8378              
-4.5869             1.8351              
-4.5921             1.8323              
-4.5973             1.8296              
-4.6025             1.8268              
-4.6077             1.8241              
-4.6128             1.8213              
-4.618              1.8185              
-4.6231             1.8158              
-4.6282             1.813               
-4.6333             1.8102              
-4.6384             1.8074              
-4.6435             1.8047              
-4.6486             1.8019              
-4.6537             1.7991              
-4.6587             1.7963              
-4.6638             1.7935              
-4.6688             1.7907              
-4.6738             1.7879              
-4.6788             1.785               
-4.6838             1.7822              
-4.6888             1.7794              
-4.6938             1.7766              
-4.6988             1.7737              
-4.7037             1.7709              
-4.7087             1.7681              
-4.7136             1.7652              
-4.7186             1.7624              
-4.7235             1.7595              
-4.7284             1.7567              
-4.7333             1.7538              
-4.7381             1.7509              
-4.743              1.7481              
-4.7479             1.7452              
-4.7527             1.7423              
-4.7576             1.7394              
-4.7624             1.7366              
-4.7672             1.7337              
-4.772              1.7308              
-4.7768             1.7279              
-4.7816             1.725               
-4.7864             1.7221              
-4.7911             1.7192              
-4.7959             1.7163              
-4.8006             1.7134              
-4.8054             1.7104              
-4.8101             1.7075              
-4.8148             1.7046              
-4.8195             1.7017              
-4.8242             1.6987              
-4.8289             1.6958              
-4.8335             1.6928              
-4.8382             1.6899              
-4.8428             1.6869              
-4.8475             1.684               
-4.8521             1.681               
-4.8567             1.6781              
-4.8613             1.6751              
-4.8659             1.6722              
-4.8705             1.6692              
-4.8751             1.6662              
-4.8796             1.6632              
-4.8842             1.6602              
-4.8887             1.6573              
-4.8933             1.6543              
-4.8978             1.6513              
-4.9023             1.6483              
-4.9068             1.6453              
-4.9113             1.6423              
-4.9158             1.6393              
-4.9202             1.6363              
-4.9247             1.6333              
-4.9291             1.6302              
-4.9336             1.6272              
-4.938              1.6242              
-4.9424             1.6212              
-4.9468             1.6181              
-4.9512             1.6151              
-4.9556             1.6121              
-4.96               1.609               
-4.9643             1.606               
-4.9687             1.6029              
-4.973              1.5999              
-4.9774             1.5968              
-4.9817             1.5938              
-4.986              1.5907              
-4.9903             1.5877              
-4.9946             1.5846              
-4.9989             1.5815              
-5.0032             1.5785              
-5.0074             1.5754              
-5.0117             1.5723              
-5.0159             1.5692              
-5.0202             1.5661              
-5.0244             1.563               
-5.0286             1.5599              
-5.0328             1.5569              
-5.037              1.5538              
-5.0412             1.5507              
-5.0453             1.5475              
-5.0495             1.5444              
-5.0537             1.5413              
-5.0578             1.5382              
-5.0619             1.5351              
-5.0661             1.532               
-5.0702             1.5289              
-5.0743             1.5257              
-5.0784             1.5226              
-5.0824             1.5195              
-5.0865             1.5163              
-5.0906             1.5132              
-5.0946             1.5101              
