# fichier halley.txt
############################################################################################
# Positions prévues de la comète Halley par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 18/ 3/2021, la deuxième au 19/ 3/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              
-19.893             27.1215             
-19.8926            27.1219             
-19.8922            27.1222             
-19.8919            27.1226             
-19.8915            27.1229             
-19.8911            27.1233             
-19.8907            27.1236             
-19.8903            27.124              
-19.8899            27.1243             
-19.8895            27.1246             
-19.8891            27.125              
-19.8887            27.1253             
-19.8883            27.1257             
-19.8879            27.126              
-19.8875            27.1264             
-19.8871            27.1267             
-19.8867            27.1271             
-19.8864            27.1274             
-19.886             27.1278             
-19.8856            27.1281             
-19.8852            27.1285             
-19.8848            27.1288             
-19.8844            27.1292             
-19.884             27.1295             
-19.8836            27.1299             
-19.8832            27.1302             
-19.8828            27.1305             
-19.8824            27.1309             
-19.882             27.1312             
-19.8816            27.1316             
-19.8812            27.1319             
-19.8808            27.1323             
-19.8804            27.1326             
-19.88              27.133              
-19.8796            27.1333             
-19.8792            27.1336             
-19.8788            27.134              
-19.8784            27.1343             
-19.8781            27.1347             
-19.8777            27.135              
-19.8773            27.1354             
-19.8769            27.1357             
-19.8765            27.136              
-19.8761            27.1364             
-19.8757            27.1367             
-19.8753            27.1371             
-19.8749            27.1374             
-19.8745            27.1378             
-19.8741            27.1381             
-19.8737            27.1384             
-19.8733            27.1388             
-19.8729            27.1391             
-19.8725            27.1395             
-19.8721            27.1398             
-19.8717            27.1401             
-19.8713            27.1405             
-19.8709            27.1408             
-19.8705            27.1412             
-19.8701            27.1415             
-19.8697            27.1418             
-19.8693            27.1422             
-19.8689            27.1425             
-19.8685            27.1429             
-19.8681            27.1432             
-19.8677            27.1435             
-19.8673            27.1439             
-19.8669            27.1442             
-19.8665            27.1446             
-19.8661            27.1449             
-19.8657            27.1452             
-19.8653            27.1456             
-19.8649            27.1459             
-19.8645            27.1462             
-19.8641            27.1466             
-19.8637            27.1469             
-19.8633            27.1472             
-19.8629            27.1476             
-19.8625            27.1479             
-19.8621            27.1483             
-19.8617            27.1486             
-19.8613            27.1489             
-19.8609            27.1493             
-19.8605            27.1496             
-19.8601            27.1499             
-19.8597            27.1503             
-19.8592            27.1506             
-19.8588            27.1509             
-19.8584            27.1513             
-19.858             27.1516             
-19.8576            27.1519             
-19.8572            27.1523             
-19.8568            27.1526             
-19.8564            27.1529             
-19.856             27.1533             
-19.8556            27.1536             
-19.8552            27.1539             
-19.8548            27.1543             
-19.8544            27.1546             
-19.854             27.1549             
-19.8536            27.1553             
-19.8532            27.1556             
-19.8528            27.1559             
-19.8524            27.1563             
-19.852             27.1566             
-19.8516            27.1569             
-19.8512            27.1573             
-19.8507            27.1576             
-19.8503            27.1579             
-19.8499            27.1582             
-19.8495            27.1586             
-19.8491            27.1589             
-19.8487            27.1592             
-19.8483            27.1596             
-19.8479            27.1599             
-19.8475            27.1602             
-19.8471            27.1606             
-19.8467            27.1609             
-19.8463            27.1612             
-19.8459            27.1615             
-19.8455            27.1619             
-19.845             27.1622             
-19.8446            27.1625             
-19.8442            27.1629             
-19.8438            27.1632             
-19.8434            27.1635             
-19.843             27.1638             
-19.8426            27.1642             
-19.8422            27.1645             
-19.8418            27.1648             
-19.8414            27.1651             
-19.841             27.1655             
-19.8406            27.1658             
-19.8401            27.1661             
-19.8397            27.1664             
-19.8393            27.1668             
-19.8389            27.1671             
-19.8385            27.1674             
-19.8381            27.1677             
-19.8377            27.1681             
-19.8373            27.1684             
-19.8369            27.1687             
-19.8365            27.169              
-19.836             27.1694             
-19.8356            27.1697             
-19.8352            27.17               
-19.8348            27.1703             
-19.8344            27.1707             
-19.834             27.171              
-19.8336            27.1713             
-19.8332            27.1716             
-19.8327            27.1719             
-19.8323            27.1723             
-19.8319            27.1726             
-19.8315            27.1729             
-19.8311            27.1732             
-19.8307            27.1736             
-19.8303            27.1739             
-19.8299            27.1742             
-19.8294            27.1745             
-19.829             27.1748             
-19.8286            27.1752             
-19.8282            27.1755             
-19.8278            27.1758             
-19.8274            27.1761             
-19.827             27.1764             
-19.8266            27.1768             
-19.8261            27.1771             
-19.8257            27.1774             
-19.8253            27.1777             
-19.8249            27.178              
-19.8245            27.1784             
-19.8241            27.1787             
-19.8236            27.179              
-19.8232            27.1793             
-19.8228            27.1796             
-19.8224            27.18               
-19.822             27.1803             
-19.8216            27.1806             
-19.8212            27.1809             
-19.8207            27.1812             
-19.8203            27.1815             
-19.8199            27.1819             
-19.8195            27.1822             
-19.8191            27.1825             
-19.8187            27.1828             
-19.8182            27.1831             
-19.8178            27.1834             
-19.8174            27.1837             
-19.817             27.1841             
-19.8166            27.1844             
-19.8162            27.1847             
-19.8157            27.185              
-19.8153            27.1853             
-19.8149            27.1856             
-19.8145            27.186              
-19.8141            27.1863             
-19.8136            27.1866             
-19.8132            27.1869             
-19.8128            27.1872             
-19.8124            27.1875             
-19.812             27.1878             
-19.8116            27.1881             
-19.8111            27.1885             
-19.8107            27.1888             
-19.8103            27.1891             
-19.8099            27.1894             
-19.8095            27.1897             
-19.809             27.19               
-19.8086            27.1903             
-19.8082            27.1906             
-19.8078            27.191              
-19.8074            27.1913             
-19.8069            27.1916             
-19.8065            27.1919             
-19.8061            27.1922             
-19.8057            27.1925             
-19.8053            27.1928             
-19.8048            27.1931             
-19.8044            27.1934             
-19.804             27.1937             
-19.8036            27.1941             
-19.8031            27.1944             
-19.8027            27.1947             
-19.8023            27.195              
-19.8019            27.1953             
-19.8015            27.1956             
-19.801             27.1959             
-19.8006            27.1962             
-19.8002            27.1965             
-19.7998            27.1968             
-19.7993            27.1971             
-19.7989            27.1974             
-19.7985            27.1978             
-19.7981            27.1981             
-19.7977            27.1984             
-19.7972            27.1987             
-19.7968            27.199              
-19.7964            27.1993             
-19.796             27.1996             
-19.7955            27.1999             
-19.7951            27.2002             
-19.7947            27.2005             
-19.7943            27.2008             
-19.7938            27.2011             
-19.7934            27.2014             
-19.793             27.2017             
-19.7926            27.202              
-19.7921            27.2023             
-19.7917            27.2026             
-19.7913            27.2029             
-19.7909            27.2033             
-19.7904            27.2036             
-19.79              27.2039             
-19.7896            27.2042             
-19.7892            27.2045             
-19.7887            27.2048             
-19.7883            27.2051             
-19.7879            27.2054             
-19.7874            27.2057             
-19.787             27.206              
-19.7866            27.2063             
-19.7862            27.2066             
-19.7857            27.2069             
-19.7853            27.2072             
-19.7849            27.2075             
-19.7845            27.2078             
-19.784             27.2081             
-19.7836            27.2084             
-19.7832            27.2087             
-19.7827            27.209              
-19.7823            27.2093             
-19.7819            27.2096             
-19.7815            27.2099             
-19.781             27.2102             
-19.7806            27.2105             
-19.7802            27.2108             
-19.7797            27.2111             
-19.7793            27.2114             
-19.7789            27.2117             
-19.7785            27.212              
-19.778             27.2123             
-19.7776            27.2126             
-19.7772            27.2129             
-19.7767            27.2132             
-19.7763            27.2135             
-19.7759            27.2138             
-19.7754            27.2141             
-19.775             27.2144             
-19.7746            27.2147             
-19.7742            27.215              
-19.7737            27.2153             
-19.7733            27.2155             
-19.7729            27.2158             
-19.7724            27.2161             
-19.772             27.2164             
-19.7716            27.2167             
-19.7711            27.217              
-19.7707            27.2173             
-19.7703            27.2176             
-19.7698            27.2179             
-19.7694            27.2182             
-19.769             27.2185             
-19.7685            27.2188             
-19.7681            27.2191             
-19.7677            27.2194             
-19.7672            27.2197             
-19.7668            27.22               
-19.7664            27.2203             
-19.7659            27.2206             
-19.7655            27.2208             
-19.7651            27.2211             
-19.7646            27.2214             
-19.7642            27.2217             
-19.7638            27.222              
-19.7633            27.2223             
-19.7629            27.2226             
-19.7625            27.2229             
-19.762             27.2232             
