# fichier finlay.txt
############################################################################################
# Positions prévues de la comète Finlay par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 15/ 4/2021, la deuxième au 16/ 4/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              Z (au)              
-1.1611             2.1711              0.2846              
-1.1731             2.1744              0.2853              
-1.185              2.1776              0.286               
-1.1969             2.1808              0.2867              
-1.2087             2.1839              0.2874              
-1.2206             2.187               0.2881              
-1.2324             2.1901              0.2888              
-1.2442             2.1931              0.2895              
-1.2559             2.196               0.2902              
-1.2677             2.199               0.2909              
-1.2794             2.2019              0.2915              
-1.2911             2.2047              0.2922              
-1.3028             2.2076              0.2929              
-1.3145             2.2103              0.2935              
-1.3261             2.2131              0.2942              
-1.3377             2.2158              0.2948              
-1.3493             2.2185              0.2954              
-1.3609             2.2211              0.2961              
-1.3724             2.2237              0.2967              
-1.384              2.2262              0.2973              
-1.3955             2.2288              0.2979              
-1.407              2.2313              0.2986              
-1.4184             2.2337              0.2992              
-1.4299             2.2361              0.2998              
-1.4413             2.2385              0.3004              
-1.4527             2.2409              0.301               
-1.464              2.2432              0.3016              
-1.4754             2.2455              0.3022              
-1.4867             2.2477              0.3027              
-1.498              2.2499              0.3033              
-1.5093             2.2521              0.3039              
-1.5206             2.2543              0.3045              
-1.5318             2.2564              0.305               
-1.543              2.2585              0.3056              
-1.5542             2.2605              0.3061              
-1.5654             2.2625              0.3067              
-1.5765             2.2645              0.3072              
-1.5877             2.2665              0.3078              
-1.5988             2.2684              0.3083              
-1.6099             2.2703              0.3089              
-1.6209             2.2722              0.3094              
-1.632              2.274               0.3099              
-1.643              2.2758              0.3104              
-1.654              2.2776              0.311               
-1.665              2.2793              0.3115              
-1.6759             2.281               0.312               
-1.6869             2.2827              0.3125              
-1.6978             2.2844              0.313               
-1.7087             2.286               0.3135              
-1.7195             2.2876              0.314               
-1.7304             2.2892              0.3145              
-1.7412             2.2907              0.315               
-1.752              2.2922              0.3154              
-1.7628             2.2937              0.3159              
-1.7736             2.2952              0.3164              
-1.7843             2.2966              0.3169              
-1.795              2.298               0.3173              
-1.8057             2.2994              0.3178              
-1.8164             2.3007              0.3183              
-1.8271             2.3021              0.3187              
-1.8377             2.3034              0.3192              
-1.8483             2.3046              0.3196              
-1.8589             2.3059              0.3201              
-1.8695             2.3071              0.3205              
-1.8801             2.3083              0.321               
-1.8906             2.3095              0.3214              
-1.9011             2.3106              0.3218              
-1.9116             2.3117              0.3222              
-1.9221             2.3128              0.3227              
-1.9325             2.3139              0.3231              
-1.943              2.3149              0.3235              
-1.9534             2.3159              0.3239              
-1.9638             2.3169              0.3243              
-1.9741             2.3179              0.3247              
-1.9845             2.3189              0.3251              
-1.9948             2.3198              0.3256              
-2.0051             2.3207              0.3259              
-2.0154             2.3216              0.3263              
-2.0257             2.3224              0.3267              
-2.0359             2.3232              0.3271              
-2.0462             2.3241              0.3275              
-2.0564             2.3248              0.3279              
-2.0666             2.3256              0.3283              
-2.0767             2.3263              0.3286              
-2.0869             2.3271              0.329               
-2.097              2.3278              0.3294              
-2.1071             2.3284              0.3297              
-2.1172             2.3291              0.3301              
-2.1273             2.3297              0.3305              
-2.1373             2.3303              0.3308              
-2.1474             2.3309              0.3312              
-2.1574             2.3315              0.3315              
-2.1674             2.332               0.3319              
-2.1773             2.3325              0.3322              
-2.1873             2.333               0.3326              
-2.1972             2.3335              0.3329              
-2.2071             2.334               0.3332              
-2.217              2.3344              0.3336              
-2.2269             2.3348              0.3339              
-2.2367             2.3352              0.3342              
-2.2466             2.3356              0.3346              
-2.2564             2.336               0.3349              
-2.2662             2.3363              0.3352              
-2.276              2.3366              0.3355              
-2.2857             2.3369              0.3358              
-2.2955             2.3372              0.3361              
-2.3052             2.3375              0.3364              
-2.3149             2.3377              0.3367              
-2.3246             2.338               0.337               
-2.3342             2.3382              0.3373              
-2.3439             2.3383              0.3376              
-2.3535             2.3385              0.3379              
-2.3631             2.3387              0.3382              
-2.3727             2.3388              0.3385              
-2.3823             2.3389              0.3388              
-2.3918             2.339               0.3391              
-2.4014             2.3391              0.3394              
-2.4109             2.3391              0.3396              
-2.4204             2.3392              0.3399              
-2.4298             2.3392              0.3402              
-2.4393             2.3392              0.3404              
-2.4487             2.3392              0.3407              
-2.4582             2.3391              0.341               
-2.4676             2.3391              0.3412              
-2.477              2.339               0.3415              
-2.4863             2.3389              0.3418              
-2.4957             2.3388              0.342               
-2.505              2.3387              0.3423              
-2.5143             2.3386              0.3425              
-2.5236             2.3384              0.3428              
-2.5329             2.3383              0.343               
-2.5421             2.3381              0.3432              
-2.5514             2.3379              0.3435              
-2.5606             2.3377              0.3437              
-2.5698             2.3374              0.344               
-2.579              2.3372              0.3442              
