# fichier finlay.txt
############################################################################################
# Positions prévues de la comète Finlay par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 15/ 4/2021, la deuxième au 16/ 4/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              Z (au)              
-5.1642             1.4544              0.3155              
-5.1681             1.4512              0.3152              
-5.1719             1.448               0.315               
-5.1758             1.4448              0.3147              
-5.1796             1.4416              0.3144              
-5.1834             1.4384              0.3142              
-5.1873             1.4352              0.3139              
-5.1911             1.432               0.3137              
-5.1949             1.4287              0.3134              
-5.1987             1.4255              0.3131              
-5.2024             1.4223              0.3129              
-5.2062             1.4191              0.3126              
-5.21               1.4159              0.3123              
-5.2137             1.4126              0.3121              
-5.2175             1.4094              0.3118              
-5.2212             1.4062              0.3115              
-5.2249             1.4029              0.3113              
-5.2286             1.3997              0.311               
-5.2323             1.3965              0.3107              
-5.236              1.3932              0.3104              
-5.2397             1.39                0.3102              
-5.2434             1.3867              0.3099              
-5.247              1.3835              0.3096              
-5.2507             1.3802              0.3094              
-5.2543             1.377               0.3091              
-5.2579             1.3737              0.3088              
-5.2616             1.3705              0.3085              
-5.2652             1.3672              0.3083              
-5.2688             1.3639              0.308               
-5.2724             1.3607              0.3077              
-5.276              1.3574              0.3074              
-5.2795             1.3541              0.3071              
-5.2831             1.3508              0.3069              
-5.2867             1.3476              0.3066              
-5.2902             1.3443              0.3063              
-5.2937             1.341               0.306               
-5.2973             1.3377              0.3058              
-5.3008             1.3344              0.3055              
-5.3043             1.3311              0.3052              
-5.3078             1.3279              0.3049              
-5.3113             1.3246              0.3046              
-5.3148             1.3213              0.3043              
-5.3182             1.318               0.3041              
-5.3217             1.3147              0.3038              
-5.3251             1.3114              0.3035              
-5.3286             1.3081              0.3032              
-5.332              1.3047              0.3029              
-5.3354             1.3014              0.3026              
-5.3389             1.2981              0.3023              
-5.3423             1.2948              0.3021              
-5.3457             1.2915              0.3018              
-5.349              1.2882              0.3015              
-5.3524             1.2848              0.3012              
-5.3558             1.2815              0.3009              
-5.3591             1.2782              0.3006              
-5.3625             1.2749              0.3003              
-5.3658             1.2715              0.3                 
-5.3691             1.2682              0.2997              
-5.3725             1.2649              0.2995              
-5.3758             1.2615              0.2992              
-5.3791             1.2582              0.2989              
-5.3824             1.2548              0.2986              
-5.3856             1.2515              0.2983              
-5.3889             1.2481              0.298               
-5.3922             1.2448              0.2977              
-5.3954             1.2414              0.2974              
-5.3987             1.2381              0.2971              
-5.4019             1.2347              0.2968              
-5.4051             1.2314              0.2965              
-5.4083             1.228               0.2962              
-5.4116             1.2247              0.2959              
-5.4148             1.2213              0.2956              
-5.4179             1.2179              0.2953              
-5.4211             1.2146              0.295               
-5.4243             1.2112              0.2947              
-5.4274             1.2078              0.2944              
-5.4306             1.2044              0.2941              
-5.4337             1.2011              0.2938              
-5.4369             1.1977              0.2935              
-5.44               1.1943              0.2932              
-5.4431             1.1909              0.2929              
-5.4462             1.1875              0.2926              
-5.4493             1.1842              0.2923              
-5.4524             1.1808              0.292               
-5.4555             1.1774              0.2917              
-5.4585             1.174               0.2914              
-5.4616             1.1706              0.2911              
-5.4646             1.1672              0.2908              
-5.4677             1.1638              0.2905              
-5.4707             1.1604              0.2901              
-5.4737             1.157               0.2898              
-5.4767             1.1536              0.2895              
-5.4797             1.1502              0.2892              
-5.4827             1.1468              0.2889              
-5.4857             1.1434              0.2886              
-5.4887             1.14                0.2883              
-5.4916             1.1365              0.288               
-5.4946             1.1331              0.2877              
-5.4976             1.1297              0.2874              
-5.5005             1.1263              0.287               
-5.5034             1.1229              0.2867              
-5.5063             1.1194              0.2864              
-5.5092             1.116               0.2861              
-5.5121             1.1126              0.2858              
-5.515              1.1092              0.2855              
-5.5179             1.1057              0.2852              
-5.5208             1.1023              0.2848              
-5.5237             1.0989              0.2845              
-5.5265             1.0954              0.2842              
-5.5294             1.092               0.2839              
-5.5322             1.0885              0.2836              
-5.535              1.0851              0.2833              
-5.5378             1.0817              0.2829              
-5.5407             1.0782              0.2826              
-5.5435             1.0748              0.2823              
-5.5463             1.0713              0.282               
-5.549              1.0679              0.2817              
-5.5518             1.0644              0.2813              
-5.5546             1.061               0.281               
-5.5573             1.0575              0.2807              
-5.5601             1.054               0.2804              
-5.5628             1.0506              0.28                
-5.5655             1.0471              0.2797              
-5.5683             1.0437              0.2794              
-5.571              1.0402              0.2791              
-5.5737             1.0367              0.2787              
-5.5764             1.0333              0.2784              
-5.579              1.0298              0.2781              
-5.5817             1.0263              0.2778              
-5.5844             1.0229              0.2774              
-5.587              1.0194              0.2771              
-5.5897             1.0159              0.2768              
-5.5923             1.0124              0.2765              
-5.595              1.0089              0.2761              
-5.5976             1.0055              0.2758              
-5.6002             1.002               0.2755              
-5.6028             0.9985              0.2751              
-5.6054             0.995               0.2748              
-5.608              0.9915              0.2745              
-5.6105             0.988               0.2742              
-5.6131             0.9845              0.2738              
-5.6157             0.9811              0.2735              
-5.6182             0.9776              0.2732              
-5.6208             0.9741              0.2728              
-5.6233             0.9706              0.2725              
-5.6258             0.9671              0.2722              
-5.6283             0.9636              0.2718              
-5.6308             0.9601              0.2715              
-5.6333             0.9566              0.2712              
-5.6358             0.9531              0.2708              
-5.6383             0.9496              0.2705              
-5.6408             0.9461              0.2701              
-5.6432             0.9425              0.2698              
-5.6457             0.939               0.2695              
-5.6481             0.9355              0.2691              
-5.6505             0.932               0.2688              
-5.653              0.9285              0.2685              
-5.6554             0.925               0.2681              
-5.6578             0.9215              0.2678              
-5.6602             0.9179              0.2674              
-5.6626             0.9144              0.2671              
-5.665              0.9109              0.2668              
-5.6673             0.9074              0.2664              
-5.6697             0.9039              0.2661              
-5.672              0.9003              0.2657              
-5.6744             0.8968              0.2654              
-5.6767             0.8933              0.2651              
-5.679              0.8897              0.2647              
-5.6814             0.8862              0.2644              
-5.6837             0.8827              0.264               
-5.686              0.8791              0.2637              
-5.6883             0.8756              0.2633              
-5.6905             0.8721              0.263               
-5.6928             0.8685              0.2626              
-5.6951             0.865               0.2623              
-5.6973             0.8614              0.262               
-5.6996             0.8579              0.2616              
-5.7018             0.8544              0.2613              
-5.7041             0.8508              0.2609              
-5.7063             0.8473              0.2606              
-5.7085             0.8437              0.2602              
-5.7107             0.8402              0.2599              
-5.7129             0.8366              0.2595              
-5.7151             0.8331              0.2592              
-5.7173             0.8295              0.2588              
-5.7194             0.826               0.2585              
-5.7216             0.8224              0.2581              
-5.7237             0.8189              0.2578              
-5.7259             0.8153              0.2574              
-5.728              0.8117              0.2571              
-5.7301             0.8082              0.2567              
-5.7322             0.8046              0.2564              
-5.7344             0.8011              0.256               
-5.7365             0.7975              0.2557              
-5.7385             0.7939              0.2553              
-5.7406             0.7904              0.255               
-5.7427             0.7868              0.2546              
-5.7448             0.7832              0.2542              
-5.7468             0.7796              0.2539              
-5.7489             0.7761              0.2535              
-5.7509             0.7725              0.2532              
-5.7529             0.7689              0.2528              
-5.755              0.7654              0.2525              
-5.757              0.7618              0.2521              
-5.759              0.7582              0.2517              
-5.761              0.7546              0.2514              
-5.7629             0.751               0.251               
-5.7649             0.7475              0.2507              
-5.7669             0.7439              0.2503              
-5.7689             0.7403              0.25                
-5.7708             0.7367              0.2496              
-5.7727             0.7331              0.2492              
-5.7747             0.7295              0.2489              
-5.7766             0.726               0.2485              
-5.7785             0.7224              0.2482              
-5.7804             0.7188              0.2478              
-5.7823             0.7152              0.2474              
-5.7842             0.7116              0.2471              
-5.7861             0.708               0.2467              
-5.788              0.7044              0.2463              
-5.7898             0.7008              0.246               
-5.7917             0.6972              0.2456              
-5.7935             0.6936              0.2453              
-5.7954             0.69                0.2449              
-5.7972             0.6864              0.2445              
-5.799              0.6828              0.2442              
-5.8008             0.6792              0.2438              
-5.8027             0.6756              0.2434              
-5.8045             0.672               0.2431              
-5.8062             0.6684              0.2427              
-5.808              0.6648              0.2423              
-5.8098             0.6612              0.242               
-5.8115             0.6576              0.2416              
-5.8133             0.654               0.2412              
-5.815              0.6504              0.2409              
-5.8168             0.6468              0.2405              
-5.8185             0.6432              0.2401              
-5.8202             0.6396              0.2397              
-5.8219             0.6359              0.2394              
-5.8236             0.6323              0.239               
-5.8253             0.6287              0.2386              
-5.827              0.6251              0.2383              
-5.8287             0.6215              0.2379              
-5.8304             0.6179              0.2375              
-5.832              0.6143              0.2371              
-5.8337             0.6106              0.2368              
-5.8353             0.607               0.2364              
-5.8369             0.6034              0.236               
-5.8386             0.5998              0.2357              
-5.8402             0.5962              0.2353              
-5.8418             0.5925              0.2349              
-5.8434             0.5889              0.2345              
-5.845              0.5853              0.2342              
-5.8466             0.5817              0.2338              
-5.8481             0.578               0.2334              
-5.8497             0.5744              0.233               
-5.8513             0.5708              0.2327              
-5.8528             0.5671              0.2323              
-5.8544             0.5635              0.2319              
-5.8559             0.5599              0.2315              
-5.8574             0.5562              0.2312              
-5.8589             0.5526              0.2308              
-5.8604             0.549               0.2304              
-5.8619             0.5453              0.23                
-5.8634             0.5417              0.2296              
-5.8649             0.5381              0.2293              
-5.8664             0.5344              0.2289              
-5.8678             0.5308              0.2285              
-5.8693             0.5272              0.2281              
-5.8707             0.5235              0.2277              
-5.8722             0.5199              0.2274              
-5.8736             0.5162              0.227               
-5.875              0.5126              0.2266              
-5.8764             0.509               0.2262              
-5.8778             0.5053              0.2258              
-5.8792             0.5017              0.2255              
-5.8806             0.498               0.2251              
-5.882              0.4944              0.2247              
-5.8834             0.4907              0.2243              
-5.8847             0.4871              0.2239              
-5.8861             0.4835              0.2235              
-5.8874             0.4798              0.2231              
-5.8888             0.4762              0.2228              
-5.8901             0.4725              0.2224              
-5.8914             0.4689              0.222               
-5.8927             0.4652              0.2216              
-5.894              0.4616              0.2212              
-5.8953             0.4579              0.2208              
-5.8966             0.4543              0.2205              
-5.8979             0.4506              0.2201              
-5.8992             0.447               0.2197              
-5.9004             0.4433              0.2193              
-5.9017             0.4396              0.2189              
-5.9029             0.436               0.2185              
-5.9041             0.4323              0.2181              
-5.9054             0.4287              0.2177              
-5.9066             0.425               0.2173              
-5.9078             0.4214              0.217               
-5.909              0.4177              0.2166              
-5.9102             0.414               0.2162              
-5.9114             0.4104              0.2158              
-5.9126             0.4067              0.2154              
-5.9137             0.4031              0.215               
-5.9149             0.3994              0.2146              
-5.916              0.3957              0.2142              
-5.9172             0.3921              0.2138              
-5.9183             0.3884              0.2134              
-5.9194             0.3848              0.213               
-5.9206             0.3811              0.2127              
-5.9217             0.3774              0.2123              
-5.9228             0.3738              0.2119              
-5.9239             0.3701              0.2115              
-5.925              0.3664              0.2111              
-5.926              0.3628              0.2107              
-5.9271             0.3591              0.2103              
-5.9282             0.3554              0.2099              
-5.9292             0.3518              0.2095              
-5.9303             0.3481              0.2091              
-5.9313             0.3444              0.2087              
-5.9323             0.3408              0.2083              
-5.9333             0.3371              0.2079              
-5.9343             0.3334              0.2075              
-5.9353             0.3297              0.2071              
-5.9363             0.3261              0.2067              
-5.9373             0.3224              0.2063              
-5.9383             0.3187              0.2059              
-5.9393             0.3151              0.2055              
-5.9402             0.3114              0.2051              
-5.9412             0.3077              0.2047              
-5.9421             0.304               0.2043              
-5.9431             0.3004              0.2039              
-5.944              0.2967              0.2035              
-5.9449             0.293               0.2031              
-5.9458             0.2893              0.2027              
-5.9467             0.2857              0.2023              
-5.9476             0.282               0.2019              
-5.9485             0.2783              0.2015              
-5.9494             0.2746              0.2011              
-5.9502             0.2709              0.2007              
-5.9511             0.2673              0.2003              
-5.9519             0.2636              0.1999              
-5.9528             0.2599              0.1995              
-5.9536             0.2562              0.1991              
-5.9544             0.2526              0.1987              
-5.9553             0.2489              0.1983              
-5.9561             0.2452              0.1979              
-5.9569             0.2415              0.1975              
-5.9577             0.2378              0.1971              
-5.9584             0.2341              0.1967              
-5.9592             0.2305              0.1963              
-5.96               0.2268              0.1959              
-5.9608             0.2231              0.1955              
-5.9615             0.2194              0.1951              
-5.9622             0.2157              0.1947              
-5.963              0.2121              0.1943              
-5.9637             0.2084              0.1939              
-5.9644             0.2047              0.1935              
-5.9651             0.201               0.1931              
-5.9658             0.1973              0.1927              
-5.9665             0.1936              0.1922              
-5.9672             0.1899              0.1918              
-5.9679             0.1863              0.1914              
-5.9686             0.1826              0.191               
-5.9692             0.1789              0.1906              
-5.9699             0.1752              0.1902              
-5.9705             0.1715              0.1898              
-5.9712             0.1678              0.1894              
-5.9718             0.1641              0.189               
-5.9724             0.1605              0.1886              
-5.973              0.1568              0.1882              
-5.9736             0.1531              0.1877              
-5.9742             0.1494              0.1873              
-5.9748             0.1457              0.1869              
-5.9754             0.142               0.1865              
-5.9759             0.1383              0.1861              
-5.9765             0.1346              0.1857              
-5.9771             0.131               0.1853              
-5.9776             0.1273              0.1849              
-5.9781             0.1236              0.1845              
-5.9787             0.1199              0.184               
-5.9792             0.1162              0.1836              
-5.9797             0.1125              0.1832              
-5.9802             0.1088              0.1828              
-5.9807             0.1051              0.1824              
-5.9812             0.1014              0.182               
-5.9817             0.0978              0.1816              
-5.9821             0.0941              0.1812              
-5.9826             0.0904              0.1807              
-5.983              0.0867              0.1803              
-5.9835             0.083               0.1799              
-5.9839             0.0793              0.1795              
-5.9844             0.0756              0.1791              
-5.9848             0.0719              0.1787              
-5.9852             0.0682              0.1782              
-5.9856             0.0645              0.1778              
-5.986              0.0608              0.1774              
-5.9864             0.0572              0.177               
-5.9868             0.0535              0.1766              
-5.9871             0.0498              0.1762              
-5.9875             0.0461              0.1757              
-5.9878             0.0424              0.1753              
-5.9882             0.0387              0.1749              
-5.9885             0.035               0.1745              
-5.9889             0.0313              0.1741              
-5.9892             0.0276              0.1737              
-5.9895             0.0239              0.1732              
-5.9898             0.0202              0.1728              
-5.9901             0.0165              0.1724              
-5.9904             0.0129              0.172               
-5.9907             0.0092              0.1716              
-5.9909             0.0055              0.1711              
-5.9912             0.0018              0.1707              
-5.9915             -0.0019             0.1703              
-5.9917             -0.0056             0.1699              
-5.9919             -0.0093             0.1695              
-5.9922             -0.013              0.169               
-5.9924             -0.0167             0.1686              
-5.9926             -0.0204             0.1682              
-5.9928             -0.0241             0.1678              
-5.993              -0.0278             0.1673              
-5.9932             -0.0314             0.1669              
-5.9934             -0.0351             0.1665              
-5.9936             -0.0388             0.1661              
-5.9937             -0.0425             0.1657              
-5.9939             -0.0462             0.1652              
-5.994              -0.0499             0.1648              
-5.9942             -0.0536             0.1644              
-5.9943             -0.0573             0.164               
-5.9944             -0.061              0.1635              
-5.9945             -0.0647             0.1631              
-5.9947             -0.0684             0.1627              
-5.9948             -0.072              0.1623              
-5.9948             -0.0757             0.1618              
-5.9949             -0.0794             0.1614              
-5.995              -0.0831             0.161               
-5.9951             -0.0868             0.1606              
-5.9951             -0.0905             0.1601              
-5.9952             -0.0942             0.1597              
-5.9952             -0.0979             0.1593              
-5.9953             -0.1016             0.1589              
-5.9953             -0.1053             0.1584              
-5.9953             -0.109              0.158               
-5.9953             -0.1126             0.1576              
-5.9953             -0.1163             0.1571              
-5.9953             -0.12               0.1567              
-5.9953             -0.1237             0.1563              
-5.9953             -0.1274             0.1559              
-5.9952             -0.1311             0.1554              
-5.9952             -0.1348             0.155               
-5.9951             -0.1385             0.1546              
-5.9951             -0.1421             0.1542              
-5.995              -0.1458             0.1537              
-5.9949             -0.1495             0.1533              
-5.9949             -0.1532             0.1529              
-5.9948             -0.1569             0.1524              
-5.9947             -0.1606             0.152               
-5.9946             -0.1643             0.1516              
-5.9945             -0.168              0.1511              
-5.9943             -0.1716             0.1507              
-5.9942             -0.1753             0.1503              
-5.9941             -0.179              0.1499              
-5.9939             -0.1827             0.1494              
-5.9938             -0.1864             0.149               
-5.9936             -0.1901             0.1486              
-5.9934             -0.1938             0.1481              
-5.9932             -0.1974             0.1477              
-5.9931             -0.2011             0.1473              
-5.9929             -0.2048             0.1468              
-5.9927             -0.2085             0.1464              
-5.9924             -0.2122             0.146               
-5.9922             -0.2159             0.1455              
-5.992              -0.2195             0.1451              
-5.9918             -0.2232             0.1447              
-5.9915             -0.2269             0.1442              
-5.9913             -0.2306             0.1438              
-5.991              -0.2343             0.1434              
-5.9907             -0.238              0.1429              
-5.9904             -0.2416             0.1425              
-5.9902             -0.2453             0.1421              
-5.9899             -0.249              0.1416              
-5.9896             -0.2527             0.1412              
-5.9892             -0.2564             0.1408              
-5.9889             -0.26               0.1403              
-5.9886             -0.2637             0.1399              
-5.9883             -0.2674             0.1394              
-5.9879             -0.2711             0.139               
-5.9876             -0.2748             0.1386              
-5.9872             -0.2784             0.1381              
-5.9868             -0.2821             0.1377              
-5.9865             -0.2858             0.1373              
-5.9861             -0.2895             0.1368              
-5.9857             -0.2931             0.1364              
-5.9853             -0.2968             0.136               
-5.9849             -0.3005             0.1355              
-5.9845             -0.3042             0.1351              
-5.984              -0.3078             0.1346              
-5.9836             -0.3115             0.1342              
-5.9831             -0.3152             0.1338              
-5.9827             -0.3189             0.1333              
-5.9822             -0.3225             0.1329              
-5.9818             -0.3262             0.1324              
-5.9813             -0.3299             0.132               
-5.9808             -0.3335             0.1316              
-5.9803             -0.3372             0.1311              
-5.9798             -0.3409             0.1307              
-5.9793             -0.3446             0.1303              
-5.9788             -0.3482             0.1298              
-5.9783             -0.3519             0.1294              
-5.9777             -0.3556             0.1289              
-5.9772             -0.3592             0.1285              
-5.9766             -0.3629             0.128               
-5.9761             -0.3666             0.1276              
-5.9755             -0.3702             0.1272              
-5.9749             -0.3739             0.1267              
-5.9744             -0.3776             0.1263              
-5.9738             -0.3812             0.1258              
-5.9732             -0.3849             0.1254              
-5.9726             -0.3886             0.125               
-5.9719             -0.3922             0.1245              
-5.9713             -0.3959             0.1241              
-5.9707             -0.3995             0.1236              
-5.97               -0.4032             0.1232              
-5.9694             -0.4069             0.1227              
-5.9687             -0.4105             0.1223              
-5.9681             -0.4142             0.1219              
-5.9674             -0.4178             0.1214              
-5.9667             -0.4215             0.121               
-5.966              -0.4252             0.1205              
-5.9653             -0.4288             0.1201              
-5.9646             -0.4325             0.1196              
-5.9639             -0.4361             0.1192              
-5.9632             -0.4398             0.1188              
-5.9625             -0.4434             0.1183              
-5.9617             -0.4471             0.1179              
-5.961              -0.4508             0.1174              
-5.9602             -0.4544             0.117               
-5.9594             -0.4581             0.1165              
-5.9587             -0.4617             0.1161              
-5.9579             -0.4654             0.1156              
-5.9571             -0.469              0.1152              
-5.9563             -0.4727             0.1148              
-5.9555             -0.4763             0.1143              
-5.9547             -0.48               0.1139              
-5.9539             -0.4836             0.1134              
-5.953              -0.4873             0.113               
-5.9522             -0.4909             0.1125              
-5.9514             -0.4946             0.1121              
-5.9505             -0.4982             0.1116              
-5.9496             -0.5018             0.1112              
-5.9488             -0.5055             0.1107              
-5.9479             -0.5091             0.1103              
-5.947              -0.5128             0.1098              
-5.9461             -0.5164             0.1094              
-5.9452             -0.5201             0.1089              
-5.9443             -0.5237             0.1085              
-5.9434             -0.5273             0.108               
-5.9424             -0.531              0.1076              
-5.9415             -0.5346             0.1072              
-5.9405             -0.5383             0.1067              
-5.9396             -0.5419             0.1063              
-5.9386             -0.5455             0.1058              
-5.9377             -0.5492             0.1054              
-5.9367             -0.5528             0.1049              
-5.9357             -0.5564             0.1045              
-5.9347             -0.5601             0.104               
-5.9337             -0.5637             0.1036              
-5.9327             -0.5673             0.1031              
-5.9317             -0.571              0.1027              
-5.9306             -0.5746             0.1022              
-5.9296             -0.5782             0.1018              
-5.9285             -0.5818             0.1013              
-5.9275             -0.5855             0.1009              
-5.9264             -0.5891             0.1004              
-5.9254             -0.5927             0.1                 
-5.9243             -0.5964             0.0995              
-5.9232             -0.6                0.0991              
-5.9221             -0.6036             0.0986              
-5.921              -0.6072             0.0982              
-5.9199             -0.6108             0.0977              
-5.9188             -0.6145             0.0973              
-5.9176             -0.6181             0.0968              
-5.9165             -0.6217             0.0964              
-5.9154             -0.6253             0.0959              
-5.9142             -0.6289             0.0954              
-5.913              -0.6326             0.095               
-5.9119             -0.6362             0.0945              
-5.9107             -0.6398             0.0941              
-5.9095             -0.6434             0.0936              
-5.9083             -0.647              0.0932              
-5.9071             -0.6506             0.0927              
-5.9059             -0.6542             0.0923              
-5.9047             -0.6578             0.0918              
-5.9034             -0.6615             0.0914              
-5.9022             -0.6651             0.0909              
-5.901              -0.6687             0.0905              
-5.8997             -0.6723             0.09                
-5.8984             -0.6759             0.0896              
-5.8972             -0.6795             0.0891              
-5.8959             -0.6831             0.0887              
-5.8946             -0.6867             0.0882              
-5.8933             -0.6903             0.0877              
-5.892              -0.6939             0.0873              
-5.8907             -0.6975             0.0868              
-5.8894             -0.7011             0.0864              
-5.888              -0.7047             0.0859              
-5.8867             -0.7083             0.0855              
-5.8854             -0.7119             0.085               
-5.884              -0.7155             0.0846              
-5.8827             -0.7191             0.0841              
-5.8813             -0.7227             0.0837              
-5.8799             -0.7263             0.0832              
-5.8785             -0.7298             0.0827              
-5.8771             -0.7334             0.0823              
-5.8757             -0.737              0.0818              
-5.8743             -0.7406             0.0814              
-5.8729             -0.7442             0.0809              
-5.8715             -0.7478             0.0805              
-5.87               -0.7514             0.08                
-5.8686             -0.7549             0.0795              
-5.8671             -0.7585             0.0791              
-5.8657             -0.7621             0.0786              
-5.8642             -0.7657             0.0782              
-5.8627             -0.7693             0.0777              
-5.8612             -0.7728             0.0773              
-5.8597             -0.7764             0.0768              
-5.8582             -0.78               0.0764              
-5.8567             -0.7836             0.0759              
-5.8552             -0.7871             0.0754              
-5.8537             -0.7907             0.075               
-5.8521             -0.7943             0.0745              
-5.8506             -0.7979             0.0741              
-5.849              -0.8014             0.0736              
-5.8475             -0.805              0.0732              
-5.8459             -0.8086             0.0727              
-5.8443             -0.8121             0.0722              
-5.8427             -0.8157             0.0718              
-5.8411             -0.8193             0.0713              
-5.8395             -0.8228             0.0709              
-5.8379             -0.8264             0.0704              
-5.8363             -0.8299             0.0699              
-5.8346             -0.8335             0.0695              
-5.833              -0.837              0.069               
-5.8314             -0.8406             0.0686              
-5.8297             -0.8442             0.0681              
-5.828              -0.8477             0.0676              
-5.8264             -0.8513             0.0672              
-5.8247             -0.8548             0.0667              
-5.823              -0.8584             0.0663              
-5.8213             -0.8619             0.0658              
-5.8196             -0.8655             0.0654              
-5.8179             -0.869              0.0649              
-5.8162             -0.8725             0.0644              
-5.8144             -0.8761             0.064               
-5.8127             -0.8796             0.0635              
-5.8109             -0.8832             0.0631              
-5.8092             -0.8867             0.0626              
-5.8074             -0.8902             0.0621              
-5.8056             -0.8938             0.0617              
-5.8039             -0.8973             0.0612              
-5.8021             -0.9009             0.0608              
-5.8003             -0.9044             0.0603              
-5.7985             -0.9079             0.0598              
-5.7966             -0.9115             0.0594              
-5.7948             -0.915              0.0589              
-5.793              -0.9185             0.0584              
-5.7911             -0.922              0.058               
-5.7893             -0.9256             0.0575              
-5.7874             -0.9291             0.0571              
-5.7856             -0.9326             0.0566              
-5.7837             -0.9361             0.0561              
-5.7818             -0.9396             0.0557              
-5.7799             -0.9432             0.0552              
-5.778              -0.9467             0.0548              
-5.7761             -0.9502             0.0543              
-5.7742             -0.9537             0.0538              
-5.7722             -0.9572             0.0534              
-5.7703             -0.9607             0.0529              
-5.7684             -0.9642             0.0524              
-5.7664             -0.9677             0.052               
-5.7645             -0.9713             0.0515              
-5.7625             -0.9748             0.0511              
-5.7605             -0.9783             0.0506              
-5.7585             -0.9818             0.0501              
-5.7565             -0.9853             0.0497              
-5.7545             -0.9888             0.0492              
-5.7525             -0.9923             0.0488              
-5.7505             -0.9958             0.0483              
-5.7485             -0.9993             0.0478              
-5.7464             -1.0027             0.0474              
-5.7444             -1.0062             0.0469              
-5.7423             -1.0097             0.0464              
-5.7403             -1.0132             0.046               
-5.7382             -1.0167             0.0455              
-5.7361             -1.0202             0.045               
-5.734              -1.0237             0.0446              
-5.7319             -1.0272             0.0441              
-5.7298             -1.0306             0.0437              
-5.7277             -1.0341             0.0432              
-5.7256             -1.0376             0.0427              
-5.7234             -1.0411             0.0423              
-5.7213             -1.0446             0.0418              
-5.7191             -1.048              0.0413              
-5.717              -1.0515             0.0409              
-5.7148             -1.055              0.0404              
-5.7126             -1.0584             0.0399              
-5.7105             -1.0619             0.0395              
-5.7083             -1.0654             0.039               
-5.7061             -1.0688             0.0386              
-5.7038             -1.0723             0.0381              
-5.7016             -1.0758             0.0376              
-5.6994             -1.0792             0.0372              
-5.6972             -1.0827             0.0367              
-5.6949             -1.0861             0.0362              
-5.6927             -1.0896             0.0358              
-5.6904             -1.093              0.0353              
-5.6881             -1.0965             0.0348              
-5.6859             -1.0999             0.0344              
-5.6836             -1.1034             0.0339              
-5.6813             -1.1068             0.0334              
-5.679              -1.1103             0.033               
-5.6767             -1.1137             0.0325              
-5.6743             -1.1172             0.0321              
-5.672              -1.1206             0.0316              
-5.6697             -1.124              0.0311              
-5.6673             -1.1275             0.0307              
-5.665              -1.1309             0.0302              
-5.6626             -1.1343             0.0297              
-5.6602             -1.1378             0.0293              
-5.6578             -1.1412             0.0288              
-5.6554             -1.1446             0.0283              
-5.653              -1.148              0.0279              
-5.6506             -1.1515             0.0274              
-5.6482             -1.1549             0.0269              
-5.6458             -1.1583             0.0265              
-5.6433             -1.1617             0.026               
-5.6409             -1.1651             0.0255              
-5.6384             -1.1686             0.0251              
-5.636              -1.172              0.0246              
